codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones,inicio_automatica
1201005,DGA,dga_web,Rio Caracarani En Humapalca,3908,-17.8428,-69.6994,12,Rio Lluta,120,Rio Lluta Alto,1973-08-15,2018-01-30,15450,2017-04-13
1201002,DGA,dga_web,Rio Caracarani En Alcerreca,3253,-17.9833,-69.6283,12,Rio Lluta,120,Rio Lluta Alto,1961-12-13,1997-09-11,3375,-
1201001,DGA,dga_web,Rio Colpitas En Alcerreca,3251,-17.9919,-69.6256,12,Rio Lluta,120,Rio Lluta Alto,1961-12-13,2017-08-23,14091,-
1001002,DGA,dga_web,Rio Caquena En Vertedero,0,-17.9942,-69.255,10,Altiplanicas,100,Eentre Limite Peru-Bolivia Y Rio Lauca,1969-11-27,2017-07-31,13419,-
1201003,DGA,dga_web,Rio Lluta En Alcerreca,3550,-18.0036,-69.6331,12,Rio Lluta,120,Rio Lluta Alto,1961-11-03,2018-03-09,15861,2001-01-01
1001003,DGA,dga_web,Rio Colpacagua En Desembocadura,0,-18.0156,-69.2308,10,Altiplanicas,100,Eentre Limite Peru-Bolivia Y Rio Lauca,1988-06-16,2017-05-18,8736,-
1001001,DGA,dga_web,Rio Caquena En Nacimiento,4385,-18.0769,-69.1961,10,Altiplanicas,100,Eentre Limite Peru-Bolivia Y Rio Lauca,1976-07-21,2004-05-25,7288,-
1020002,DGA,dga_web,Rio Desaguadero Cotacotani,4500,-18.1936,-69.2458,10,Altiplanicas,102,Rio Lauca,1964-12-07,2017-07-31,15899,-
1020004,DGA,dga_web,"Canal Lauca En Sifon N"" 1 (Km. 3.3)",4384,-18.2294,-69.3311,10,Altiplanicas,102,Rio Lauca,1984-12-01,2017-07-31,11255,-
1020003,DGA,dga_web,Rio Lauca En Estancia El Lago,4370,-18.2325,-69.3319,10,Altiplanicas,102,Rio Lauca,1937-02-06,2017-07-31,15268,-
1202001,DGA,dga_web,Rio Lluta En Jamiraya,0,-18.25,-69.6667,12,Rio Lluta,120,Rio Lluta Alto,1937-11-09,1944-06-28,1306,-
1010002,DGA,dga_web,Rio Chungara En Desembocadura,4518,-18.2833,-69.1333,10,Altiplanicas,101,Lago Chungara,1963-06-20,1966-12-29,578,-
1210003,DGA,dga_web,Rio Lluta En Chapisca,0,-18.3667,-69.8858,12,Rio Lluta,121,Rio Lluta Bajo,1987-09-04,1995-12-06,1785,-
