Codigo,Calle,Latitudes,Longitudes,CODIGO ESRI,Name,Nombre,SIgla,ProPIedad,DAP,Altura,Radio,Estado,PODA,TratamIento,PRIORIDAD TRATAMIENTO,TAZA,FísIco,Hongos,Insectos,VIrus/BacterIa,OBSERVACIONES,N° REBROTES,
005AP01,Adm. PonIente,-33.41665799729526,-70.647882996127009,,CIruelo rojo,Prunus cerasIfera,Ps c,CG tasa,15,4,2,Regular,ALTURA,MANTENCION,4,SI,Daño físIco,,,Tumor,,1,
005AP02,Adm. PonIente,-33.416737038642168,-70.647617960348725,,CIruelo rojo,Prunus cerasIfera,Ps c,CG tasa,19,3,1,Regular,FORMACIÓN,MANTENCION,3,SI,,,,,,2,
005AP03,Adm. PonIente,-33.416840974241495,-70.648014005273581,,CIruelo rojo,Prunus cerasIfera,Ps c,CG tasa,13,3,"1,5",Regular,FORMACIÓN,MANTENCION,3,SI,,,,Tumor,,3,
005AP04,Adm. PonIente,-33.416689010336995,-70.647858018055558,,CIruelo rojo,Prunus cerasIfera,Ps c,CG tasa,11,"2,5","0,5",Regular,NO APLICA,MANTENCION,4,SI,Daño físIco,,,,,4,
005AP05,Adm. PonIente,-33.417030991986394,-70.647737989202142,,CIruelo rojo,Prunus cerasIfera,Ps c,CG tasa,11,"2,2","1,5",Regular,NO APLICA,MANTENCION,4,SI,Daño físIco,,,,,5,
005AI06,Adm. PonIente,-33.416632013395429,-70.648039989173412,,Palmera canarIa,PohenIx canarIensIs,Ph c,SePultura,50,"0,5","0,5",Malo,NO APLICA,EXTRACCION,1,NO,,,,,,6,
005AI07,Adm. PonIente,-33.417039960622787,-70.647816024720669,,CIruelo verde,Prunus sPP.,Ps v,SePultura,3,"2,5","0,5",Bueno,NO APLICA,MANTENCION,4,NO,,,,,,7,
005AI08,Adm. PonIente,-33.417054964229465,-70.64788400195539,,CIruelo verde,Prunus sPP.,Ps v,SePultura,6,"3,5",1,Bueno,NO APLICA,MANTENCION,4,NO,,,,,,8,
005AI09,Adm. PonIente,-33.41700098477304,-70.647951979190111,,Palmera canarIa,PohenIx canarIensIs,Ph c,SePultura,50,"0,5",2,Bueno,NO APLICA,CORTA,4,NO,,,,,,9,
005AI10,Adm. PonIente,-33.416964020580053,-70.648063961416483,,CassuarIna,CassuarIna angustIfolIa,Ca a,SePultura,44,8,4,Regular,ALTURA,MANTENCION,4,NO,,,,,,10,
